['Cake-LP', 'BLP', 'WBNB', 'LINK', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c', '0xF8A0BF9cF54Bb92F17374d9e9A321E6a111a51bD']
['Cake-LP', 'BLP', 'ETH', 'WBNB', '0x2170Ed0880ac9A755fd29B2688956BD959F933F8', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']
['Cake-LP', 'BLP', 'WBNB', 'BAKE', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c', '0xE02dF9e3e622DeBdD69fb838bB799E3F168902c5']
['Cake-LP', 'BLP', 'USDT', 'WBNB', '0x55d398326f99059fF775485246999027B3197955', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']
['Cake-LP', 'BLP', 'BAKE', 'BUSD', '0xE02dF9e3e622DeBdD69fb838bB799E3F168902c5', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']
['Cake-LP', 'BLP', 'USDT', 'BUSD', '0x55d398326f99059fF775485246999027B3197955', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']
['Cake-LP', 'BLP', 'USDT', 'BAKE', '0x55d398326f99059fF775485246999027B3197955', '0xE02dF9e3e622DeBdD69fb838bB799E3F168902c5']
['Cake-LP', 'BLP', 'WEAPON', 'PET', '0x3664d30A612824617e3Cf6935d6c762c8B476eDA', '0x4d4e595d643dc61EA7FCbF12e4b1AAA39f9975B8']
['Cake-LP', 'BLP', 'PET', 'FRUIT', '0x4d4e595d643dc61EA7FCbF12e4b1AAA39f9975B8', '0x9CF518B83804d30Fb007e17757D317D9B03619a5']
['Cake-LP', 'BLP', 'USDC', 'BUSD', '0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']
['Cake-LP', 'BLP', 'WEAPON', 'FRUIT', '0x3664d30A612824617e3Cf6935d6c762c8B476eDA', '0x9CF518B83804d30Fb007e17757D317D9B03619a5']
